id;clinic_name;address;inn;region_name;user_id
38;ОБИЛ Кот;г. Тюмень, ул. Котовского, 55;7203000249;Тюменская область;2
39;Тюм ОКБ №2;г. Тюмень, ул. Мельникайте, 75;7203116211;Тюменская область;2
40;НУЗ «Отделенческая больница на ст. Тюмень ОАО «РЖД»;г. Тюмень, ул. Магнитогорская, 8;7204084594;Тюменская область;2
41;Медицинский центр Миромед;г. Тюмень, ул. Орловская, 54;7204145208;Тюменская область;2
42;ФГБУ Нейрохирургия;г. Тюмень, ул. Червишевский тракт 4 км, 5;7204152364;Тюменская область;2
43;Центр Реабилитации Сибирь;г. Тюмень, ул. Червишевский тракт 19 км, 1;7224009884;Тюменская область;2
44;Санаторий Жемчужный;г. Тюмень, Ялуторовский тракт 27 км, стр. 1;7224030861;Тюменская область;2
45;ДГКБ №8;г. Челябинск, ул. Дружбы, 2;7450006213;Челябинская область;2
46;Санаторий Увильды;г. Челябинск, Челябинская обл, пос. Увильды. N 55.531151, E 60.569155;7426005988;Челябинская область;2
47;Санаторий Урал;г. Челябинск, Челябинская обл, Увельский р-н, с. Хомутинино;7440001262;Челябинская область;2
48;МНГРСК Роддом №2;г. Магнитогорск, ул. Гагарина, 36;7444063284;Челябинская область;2
49;МНГРСК ГБ №3;г. Магнитогорск, ул. Советская, 88;7446012253;Челябинская область;2
50;Чел ОКБ №3;г. Челябинск, ул. Проспект Победы, 287;7447041747;Челябинская область;2
51;Чел ОКБ №2;г. Челябинск, ул. Гагарина, 18;7449005303;Челябинская область;2
52;ГКБ №9;г. Челябинск, ул. Электровозная пятая, 5;7449011473;Челябинская область;2
53;МБУЗ ГКБ №6;г. Челябинск, ул. Румянцева, 28;7450024727;Челябинская область;2
54;"Областной центр восстановления и реабилитации ""Огонек""";г. Челябинск, ул. Приборостроителей, 18а;7450025640;Челябинская область;2
55;Областной перинатальный центр;г. Челябинск, ул. Тимирязева, 17;7451002162;Челябинская область;2
56;Санаторий Изумруд;г. Челябинск, ул. Шахтостроевская, 32;7451016493;Челябинская область;2
57;РЖД Бца;г. Челябинск, ул. Доватора, 23;7451207988;Челябинская область;2
58;ГКБ №8;г. Челябинск, ул. Горького, 28;7452000312;Челябинская область;2
59;ЧОКБ;г. Челябинск, ул. Воровского, 70;7453013642;Челябинская область;2
60;ГЛПУЗ Челябинская ОДКБ;г. Челябинск, ул. Блюхера, 42а;7453014011;Челябинская область;2
61;ОДКБ;г. Челябинск, ул. Блюхера, 42а;7453014011;Челябинская область;2
62;Клиника ЮУГМУ;г. Челябинск, ул. Черкасская, 2;7453042876;Челябинская область;2
63;Неврологическая клиника доктора Бубновой И.Д.;г. Челябинск, ул. Пушкина, 12;7453145575;Челябинская область;2
64;Сургут ОКБ;г. Сургут, ул. Энергетиков, 14;8601009620;Ханты-Мансийский АО;2
65;ГКБ;г. Сургут, ул. Губкина, 1 корп 1;8602002151;Ханты-Мансийский АО;2
66;Сургутская травматологическая больница;г. Сургут, ул. Нефтеюганское шоссе, 20;8602015224;Ханты-Мансийский АО;2
